league,league_key,matches,result_accuracy,goals_mse,parity_accuracy
FC 26. 5x5 Rush. Superligue,FC_26__5x5_Rush__Superligue,2523,0.5405940594059406,7.0145611424200816,0.5168316831683168
FC 25. Champions League,FC_25__Champions_League,1055,0.6445497630331753,3.1643766802907183,0.4881516587677725
FC 24. 4x4. Championnat d'Angleterre,FC_24__4x4__Championnat_d'Angleterre,2749,0.5636363636363636,11.528038691286802,0.52
FC 25. 3x3. Ligue de conférence,FC_25__3x3__Ligue_de_conférence,2924,0.5094017094017094,13.430081836365233,0.47863247863247865
FC 26. Champions League,FC_26__Champions_League,1561,0.6038338658146964,2.931547480702164,0.46325878594249204
FC 25. Championnat d'Angleterre,FC_25__Championnat_d'Angleterre,1502,0.6578073089700996,2.6090830166812142,0.5382059800664452
FC 26. Championnat du monde,FC_26__Championnat_du_monde,1562,0.6166134185303515,2.628603836502455,0.4696485623003195
FC 25. Championnat d'Espagne,FC_25__Championnat_d'Espagne,844,0.6745562130177515,2.892102442552583,0.47928994082840237
FC25. Penalty,FC25__Penalty,3691,0.496617050067659,9.482061844270923,0.571041948579161
FC 25. Ligue européenne,FC_25__Ligue_européenne,1635,0.5779816513761468,3.36012222921604,0.5351681957186545
FC24. Penalty,FC24__Penalty,3452,0.5499276410998553,10.002885073742048,0.7206946454413893
Penalty,Penalty,6037,0.5082781456953642,3.9335204346591763,0.5786423841059603
FC 25. Italy Championship,FC_25__Italy_Championship,1560,0.6666666666666666,2.987067463762605,0.5480769230769231
FC 25. Championnat d'Allemagne,FC_25__Championnat_d'Allemagne,1215,0.5925925925925926,2.973826848037162,0.4897119341563786
FIFA23. Penalty,FIFA23__Penalty,554,0.4594594594594595,10.158534095353534,0.6756756756756757
FC26. Penalty,FC26__Penalty,2023,0.4839506172839506,10.183514566743137,0.5185185185185185
World Cup 2026. Simulation,World_Cup_2026__Simulation,816,0.6463414634146342,2.88852293052006,0.4329268292682927
FC 26. Spain Championship,FC_26__Spain_Championship,316,0.640625,4.5256448374130755,0.609375
