league,matches,result_accuracy,goals_mse,goals_r2,parity_accuracy
FC 24. 4x4. Championnat d'Angleterre,2588,0.525096525096525,11.978226137893357,-0.13259630463945515,0.5057915057915058
FC 25. 3x3. Ligue de conférence,2762,0.5189873417721519,14.348163685309917,-0.15976027390449166,0.4918625678119349
FC 25. Championnat d'Allemagne,1156,0.47844827586206895,3.7431499720228505,-0.422819944167782,0.4956896551724138
FC 25. Championnat d'Angleterre,1430,0.5104895104895105,3.00005573399957,-0.2222692800557302,0.486013986013986
FC 25. Championnat d'Espagne,844,0.621301775147929,3.5031334643612255,-0.26938587764045874,0.4970414201183432
FC 25. Champions League,1055,0.4976303317535545,3.8891962123005084,-0.2696209456506151,0.44549763033175355
FC 25. Italy Championship,1491,0.4414715719063545,3.476144086155232,-0.11774371999958233,0.5250836120401338
FC 25. Ligue européenne,1563,0.4728434504792332,3.606276702771616,-0.1750378226711733,0.5782747603833865
FC 26. 5x5 Rush. Superligue,2364,0.47568710359408034,8.106659987930938,-0.1939555755648219,0.5179704016913319
FC 26. Championnat du monde,1492,0.5050167224080268,3.3468683725944137,-0.1593822821540345,0.5083612040133779
FC 26. Champions League,1485,0.5050505050505051,2.853780746465718,-0.14292461232687637,0.5016835016835017
FC 26. Spain Championship,266,0.48148148148148145,3.0333053420948937,-0.29220136998520196,0.5925925925925926
FC24. Penalty,3136,0.589171974522293,9.854311092439426,-0.21790661208060413,0.75
FC25. Penalty,3377,0.47781065088757396,11.563048987895591,-0.11478608431779946,0.606508875739645
FC26. Penalty,1707,0.52046783625731,11.616940252313963,-0.061871860561639735,0.5058479532163743
FIFA23. Penalty,248,0.48,31.705281875926598,-0.9349478734942023,0.9
Penalty,5448,0.5330275229357798,4.21048971723997,-0.0732498100867609,0.6201834862385321
World Cup 2026. Simulation,738,0.44594594594594594,3.56047135876807,-0.21258418810958069,0.5202702702702703
