team,avg_goals_scored_home,total_goals_scored_home,matches_played_home,avg_goals_conceded_home,avg_goals_scored_away,total_goals_scored_away,matches_played_away,avg_goals_conceded_away,avg_goals_scored,avg_goals_conceded,total_matches,win_rate,draw_rate
1. FSV Mainz 05,1.6285714285714286,114,70,1.8,1.703125,109.0,64.0,1.71875,1.6658482142857143,1.759375,134.0,0.5,0.2
1. Heidenheim 1846,1.4545454545454546,80,55,1.9636363636363636,1.408450704225352,100.0,71.0,1.9295774647887325,1.4314980793854033,1.946606914212548,126.0,0.5,0.2
AZ Alkmaar,4.62719298245614,1055,228,5.671052631578948,4.971311475409836,1213.0,244.0,5.918032786885246,4.799252228932988,5.794542709232097,472.0,0.5,0.2
Ajax,1.5357142857142858,129,84,1.5833333333333333,1.6666666666666667,135.0,81.0,1.654320987654321,1.6011904761904763,1.6188271604938271,165.0,0.5,0.2
Al Nassr,3.904392764857881,1511,387,3.5193798449612403,3.3509544787077825,2282.0,681.0,3.76064610866373,3.627673621782832,3.640012976812485,1068.0,0.5,0.2
Allemagne,1.5890410958904109,116,73,1.2054794520547945,1.3846153846153846,108.0,78.0,1.3717948717948718,1.4868282402528976,1.2886371619248331,151.0,0.5,0.2
Anderlecht,5.915966386554622,1408,238,6.046218487394958,5.661417322834645,1438.0,254.0,5.988188976377953,5.788691854694633,6.017203731886456,492.0,0.5,0.2
Angleterre,1.8661971830985915,530,284,1.2147887323943662,2.0876288659793816,405.0,194.0,1.3762886597938144,1.9769130245389865,1.2955386960940904,478.0,0.5,0.2
Argentine,1.8831168831168832,145,77,0.8181818181818182,1.7590361445783131,146.0,83.0,0.9397590361445783,1.8210765138475982,0.8789704271631983,160.0,0.5,0.2
Arsenal,3.4545021438780372,7251,2099,3.4040019056693662,3.3527008624602814,7386.0,2203.0,3.424875170222424,3.4036015031691593,3.414438537945895,4302.0,0.5,0.2
Aston Villa,5.0036764705882355,1361,272,4.4411764705882355,4.580071174377224,1287.0,281.0,4.263345195729538,4.79187382248273,4.352260833158887,553.0,0.5,0.2
